sl_pct,tp_pct,reward_risk,total_trades,wins,losses,win_rate,profit_factor,expectancy,premature_stops,premature_pct,total_profit,total_loss,net_profit
1.0,1.0,1.0,40027,12571,27456,0.3140630074699578,0.4578598484848485,-0.37187398506008446,15020,0.5470571095571095,12571.0,27456.0,-14885.0
1.0,1.5,1.5,38018,10562,27456,0.27781577147666897,0.5770323426573427,-0.3054605713083276,11040,0.4020979020979021,15843.0,27456.0,-11613.0
1.0,2.0,2.0,36381,8925,27456,0.24532035952832523,0.6501311188811189,-0.26403892141502433,8220,0.2993881118881119,17850.0,27456.0,-9606.0
1.0,2.5,2.5,34920,7464,27456,0.21374570446735394,0.6796328671328671,-0.25189003436426116,6145,0.2238126456876457,18660.0,27456.0,-8796.0
1.0,3.0,3.0,33523,6067,27456,0.18098022253378276,0.6629152097902098,-0.27607910986486894,4577,0.16670308857808858,18201.0,27456.0,-9255.0
1.0,4.0,4.0,31496,4040,27456,0.12827025654051308,0.5885780885780886,-0.35864871729743464,2690,0.09797494172494173,16160.0,27456.0,-11296.0
1.0,5.0,5.0,30147,2691,27456,0.08926261319534282,0.4900568181818182,-0.46442432082794316,1680,0.06118881118881119,13455.0,27456.0,-14001.0
1.0,6.0,6.0,29213,1757,27456,0.06014445623523774,0.3839597902097902,-0.5789888063533357,1095,0.03988199300699301,10542.0,27456.0,-16914.0
1.0,7.0,7.0,28615,1159,27456,0.04050323257033025,0.29549096736596736,-0.675974139437358,739,0.02691579254079254,8113.0,27456.0,-19343.0
1.0,8.0,8.0,28255,799,27456,0.02827818085294638,0.23280885780885782,-0.7454963723234825,525,0.019121503496503496,6392.0,27456.0,-21064.0
1.0,10.0,10.0,27892,436,27456,0.01563172235766528,0.1587995337995338,-0.8280510540656819,250,0.009105477855477856,4360.0,27456.0,-23096.0
1.0,12.0,12.0,27660,204,27456,0.00737527114967462,0.08916083916083917,-0.9041214750542299,130,0.004734848484848485,2448.0,27456.0,-25008.0
1.0,15.0,15.0,27538,82,27456,0.0029777035369307867,0.04479895104895105,-0.9523567434091074,61,0.0022217365967365965,1230.0,27456.0,-26226.0
1.5,1.0,0.6666666666666666,38077,16517,21560,0.4337789216587441,0.5107297464440321,-0.4155526958531398,11074,0.5136363636363637,16517.0,32340.0,-15823.0
1.5,1.5,1.0,35236,13676,21560,0.3881257804518107,0.6343228200371057,-0.3356226586445681,7926,0.3676252319109462,20514.0,32340.0,-11826.0
1.5,2.0,1.3333333333333333,32935,11375,21560,0.34537725823591925,0.7034632034632035,-0.2911795961742827,5770,0.26762523191094617,22750.0,32340.0,-9590.0
1.5,2.5,1.6666666666666667,30944,9384,21560,0.3032574974146846,0.725417439703154,-0.28697001034126157,4225,0.1959647495361781,23460.0,32340.0,-8880.0
1.5,3.0,2.0,29105,7545,21560,0.2592338086239478,0.6999072356215214,-0.3334478611922349,3099,0.14373840445269018,22635.0,32340.0,-9705.0
1.5,4.0,2.6666666666666665,26459,4899,21560,0.18515438981065044,0.6059369202226345,-0.48165085604142244,1831,0.08492578849721708,19596.0,32340.0,-12744.0
1.5,5.0,3.3333333333333335,24793,3233,21560,0.13039970959545033,0.4998453927025356,-0.652401887629573,1138,0.05278293135435993,16165.0,32340.0,-16175.0
1.5,6.0,4.0,23656,2096,21560,0.08860331416976666,0.3888682745825603,-0.83547514372675,756,0.03506493506493506,12576.0,32340.0,-19764.0
1.5,7.0,4.666666666666667,22966,1406,21560,0.06122093529565444,0.30432900432900434,-0.9796220499869372,492,0.02282003710575139,9842.0,32340.0,-22498.0
1.5,8.0,5.333333333333333,22564,1004,21560,0.044495656798439996,0.24836116264687694,-1.07729126041482,320,0.014842300556586271,8032.0,32340.0,-24308.0
1.5,10.0,6.666666666666667,22107,547,21560,0.02474329397928258,0.16914038342609772,-1.2154521192382504,139,0.006447124304267161,5470.0,32340.0,-26870.0
1.5,12.0,8.0,21820,260,21560,0.011915673693858845,0.09647495361781076,-1.3391384051329058,74,0.0034322820037105753,3120.0,32340.0,-29220.0
